	Sentence_ID	Label	Sentence	Semantic_Info
0	0065e0af231a43fe9e5c4aed56dc2f0d-3	陈述句	三星	品牌:【三星】
1	0065e0af231a43fe9e5c4aed56dc2f0d-5	陈述句	3000以下	价格:【0,3000】
2	0065e0af231a43fe9e5c4aed56dc2f0d-7	陈述句	5.0寸左右	主屏尺寸:【4,6】
3	0065e0af231a43fe9e5c4aed56dc2f0d-9	陈述句	1300	后置摄像头像素:【1235,1365】
4	0065e0af231a43fe9e5c4aed56dc2f0d-11	陈述句	摄像头像素	后置摄像头像素:
5	0065e0af231a43fe9e5c4aed56dc2f0d-13	陈述句	摄像头像素	后置摄像头像素:
6	007146354e3244f5b4662f6f864a731a-3	陈述句	努比亚X6	品牌:【努比亚】;型号:【X6】
7	007146354e3244f5b4662f6f864a731a-5	特指问	有什么优势吗？	优点:
8	007146354e3244f5b4662f6f864a731a-7	特指问	我想问下，你感觉努比亚X6怎样？	品牌:【努比亚】;型号:【X6】;优点:;缺点:
9	007146354e3244f5b4662f6f864a731a-9	特指问	那它的配置如何？	手机部件:
10	007146354e3244f5b4662f6f864a731a-11	特指问	主频呢？	CPU频率:
11	007146354e3244f5b4662f6f864a731a-13	特指问	屏幕尺寸呢？	主屏尺寸:
12	007146354e3244f5b4662f6f864a731a-15	特指问	保修呢？	保修政策:
13	007146354e3244f5b4662f6f864a731a-17	特指问	华为G7-TL00的配置如何	品牌:【华为】;型号:【G7-TL00】;手机部件:
14	007146354e3244f5b4662f6f864a731a-19	特指问	人气如何？	平均月销量:
15	007146354e3244f5b4662f6f864a731a-21	特指问	月销量？	平均月销量:
16	007146354e3244f5b4662f6f864a731a-23	选择问	那努比亚X6和这款比，哪个好点？	品牌:【努比亚】;型号:【X6】【这款】
17	06d9016ac53140f1937dc64acd443d11-1	陈述句	我想买一款比较轻的手机	手机重量:【0,250】
18	06d9016ac53140f1937dc64acd443d11-3	陈述句	随便什么牌子，但前置摄像头像素要200万	品牌:【随便】;后置摄像头像素:【190,210】
19	06d9016ac53140f1937dc64acd443d11-5	陈述句	前置摄像头像素200万	前置摄像头像素:【190,210】
20	06d9016ac53140f1937dc64acd443d11-7	陈述句	没要求	品牌:【没要求】
21	06d9016ac53140f1937dc64acd443d11-9	陈述句	小米吧	品牌:【小米】
22	06d9016ac53140f1937dc64acd443d11-11	陈述句	那就康佳吧	品牌:【康佳】
23	06d9016ac53140f1937dc64acd443d11-13	陈述句	2000元	价格:【1900,2100】
24	06d9016ac53140f1937dc64acd443d11-15	陈述句	那就500	价格:【475,525】
25	06d9016ac53140f1937dc64acd443d11-17	是非问	待机时间有1天吗	理论待机时间:【21,26】
26	06d9016ac53140f1937dc64acd443d11-19	特指问	哪款能待机一天？	理论待机时间:【21,26】
27	06d9016ac53140f1937dc64acd443d11-21	陈述句	我要待机一天的手机	理论待机时间:【21,26】
28	06d9016ac53140f1937dc64acd443d11-23	陈述句	我要2000元的手机	价格:【1900,2100】
29	06d9016ac53140f1937dc64acd443d11-25	陈述句	那400元	价格:【380,420】
30	06d9016ac53140f1937dc64acd443d11-27	是非问	他的前置摄像头像素有200万吗	前置摄像头像素:【190,210】
31	0e37880c0af54e58999375e5910ece36-1	陈述句	我想买一部自拍比较好的手机	前置摄像头像素:【好】
32	0e37880c0af54e58999375e5910ece36-3	特指问	有什么品牌可选择	品牌:
33	0e37880c0af54e58999375e5910ece36-5	陈述句	小辣椒	品牌:【小辣椒】
34	0e37880c0af54e58999375e5910ece36-7	陈述句	2000以下吧	价格:【0,2000】
35	0e37880c0af54e58999375e5910ece36-9	陈述句	5英寸	主屏尺寸:【4.75,5.25】
36	0e37880c0af54e58999375e5910ece36-11	特指问	前置摄像头怎样	前置摄像头像素:
37	0e37880c0af54e58999375e5910ece36-13	陈述句	那我要其他手机	候选手机:【其他】
38	0e37880c0af54e58999375e5910ece36-15	陈述句	前置摄像头	前置摄像头像素:
39	0e37880c0af54e58999375e5910ece36-17	陈述句	我想要天语手机	品牌:【天语】
40	0e37880c0af54e58999375e5910ece36-19	陈述句	800万	后置摄像头像素:【760,840】
41	0e37880c0af54e58999375e5910ece36-21	特指问	前置摄像头怎样	前置摄像头像素:
42	0e37880c0af54e58999375e5910ece36-23	陈述句	我要前置摄像头像素高的	前置摄像头像素:【495,10000000】
43	0fea204c56da4411bb47d7dd84262a88-3	陈述句	我想要一台前置摄像头好的手机	前置摄像头像素:【好】
