Sentence_ID	Label	Sentence	Semantic_Info
0065e0af231a43fe9e5c4aed56dc2f0d-3	陈述句	三星	品牌:【三星】
0065e0af231a43fe9e5c4aed56dc2f0d-5	陈述句	3000以下	价格:【0,3000】
0065e0af231a43fe9e5c4aed56dc2f0d-7	陈述句	5.0寸左右	主屏尺寸:【4,6】
0065e0af231a43fe9e5c4aed56dc2f0d-9	陈述句	1300	后置摄像头像素:【1235,1365】
0065e0af231a43fe9e5c4aed56dc2f0d-11	陈述句	摄像头像素	后置摄像头像素:
0065e0af231a43fe9e5c4aed56dc2f0d-13	陈述句	摄像头像素	后置摄像头像素:
007146354e3244f5b4662f6f864a731a-3	陈述句	努比亚X6	品牌:【努比亚】;型号:【X6】
007146354e3244f5b4662f6f864a731a-5	特指问	有什么优势吗？	优点:
007146354e3244f5b4662f6f864a731a-7	特指问	我想问下，你感觉努比亚X6怎样？	品牌:【努比亚】;型号:【X6】;优点:;缺点:
007146354e3244f5b4662f6f864a731a-9	特指问	那它的配置如何？	手机部件:
007146354e3244f5b4662f6f864a731a-11	特指问	主频呢？	CPU频率:
007146354e3244f5b4662f6f864a731a-13	特指问	屏幕尺寸呢？	主屏尺寸:
007146354e3244f5b4662f6f864a731a-15	特指问	保修呢？	保修政策:
007146354e3244f5b4662f6f864a731a-17	特指问	华为G7-TL00的配置如何	品牌:【华为】;型号:【G7-TL00】;手机部件:
007146354e3244f5b4662f6f864a731a-19	特指问	人气如何？	平均月销量:
007146354e3244f5b4662f6f864a731a-21	特指问	月销量？	平均月销量:
007146354e3244f5b4662f6f864a731a-23	选择问	那努比亚X6和这款比，哪个好点？	品牌:【努比亚】;型号:【X6】【这款】
117b843bc805464eaa5e7adebc78a490-1	陈述句	我要三星的手机	品牌:【三星】
117b843bc805464eaa5e7adebc78a490-3	陈述句	无所谓	价格:【无所谓】
117b843bc805464eaa5e7adebc78a490-5	陈述句	那么4000以上吧	价格:【4000,2147483647】
117b843bc805464eaa5e7adebc78a490-7	特指问	好的，它的人气如何	人气:
117b843bc805464eaa5e7adebc78a490-9	特指问	它的主屏分辨率是多少	主屏分辨率:
117b843bc805464eaa5e7adebc78a490-11	陈述句	5寸	主屏尺寸:【4.75,5.25】
117b843bc805464eaa5e7adebc78a490-13	特指问	恩，它的后置摄像头像素是多少	后置摄像头像素: 
117b843bc805464eaa5e7adebc78a490-15	陈述句	前置	前置摄像头像素:
117b843bc805464eaa5e7adebc78a490-17	陈述句	主屏分辨率呢？	主屏分辨率:
