	sentence_index	TEXT	LABEL	SPLITSET_LABEL
0	1	the rock is destined to be the 21st century 's new `` conan '' and that he 's going to make a splash even greater than arnold schwarzenegger , jean claud van damme or steven segal	0.69444	1
1	2	the gorgeously elaborate continuation of `` the lord of the rings '' trilogy is so huge that a column of words can not adequately describe co writer director peter jackson 's expanded vision of j r r tolkien 's middle earth	0.83333	1
2	3	effective but too tepid biopic	0.51389	2
3	4	if you sometimes like to go to the movies to have fun , wasabi is a good place to start	0.73611	2
4	5	emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one	0.86111	2
5	6	the film provides some great insight into the neurotic mindset of all comics even those who have reached the absolute top of the game	0.59722	2
6	7	offers that rare combination of entertainment and education	0.83333	2
7	8	perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions	0.69444	2
8	9	steers turns in a snappy screenplay that curls at the edges it 's so clever you want to hate it	0.77778	2
9	10	but he somehow pulls it off	0.73611	2
10	11	take care of my cat offers a refreshingly different slice of asian cinema	0.76389	2
11	12	this is a film well worth seeing , talking and singing heads and all	0.90278	2
12	13	what really surprises about wisegirls is its low key quality and genuine tenderness	0.625	2
13	14	( wendigo is ) why we go to the cinema to be fed through the eye , the heart , the mind	0.77778	2
14	15	one of the greatest family oriented , fantasy adventure movies ever	0.93056	2
15	16	ultimately , it ponders the reasons we need stories so much	0.45833	2
16	17	an utterly compelling ` who wrote it ' in which the reputation of the most famous author who ever lived comes into question	0.77778	2
17	18	illuminating if overly talky documentary	0.47222	2
18	19	a masterpiece four years in the making	0.97222	2
19	20	the movie 's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries	0.76389	2
20	21	offers a breath of the fresh air of true sophistication	0.88889	2
21	22	a thoughtful , provocative , insistently humanizing film	0.81944	2
22	23	with a cast that includes some of the top actors working in independent film , lovely amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives	0.86111	2
23	24	a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass	0.58333	2
24	25	not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare	0.73611	2
