Sentence_ID	Label	Sentence	Semantic_Info
0065e0af231a43fe9e5c4aed56dc2f0d-3	陈述句	三星	品牌:【三星】
0065e0af231a43fe9e5c4aed56dc2f0d-5	陈述句	3000以下	价格:【0,3000】
0065e0af231a43fe9e5c4aed56dc2f0d-7	陈述句	5.0寸左右	主屏尺寸:【4,6】
0065e0af231a43fe9e5c4aed56dc2f0d-9	陈述句	1300	后置摄像头像素:【1235,1365】
0065e0af231a43fe9e5c4aed56dc2f0d-11	陈述句	摄像头像素	后置摄像头像素:
0065e0af231a43fe9e5c4aed56dc2f0d-13	陈述句	摄像头像素	后置摄像头像素:
06d9016ac53140f1937dc64acd443d11-1	陈述句	我想买一款比较轻的手机	手机重量:【0,250】
06d9016ac53140f1937dc64acd443d11-3	陈述句	随便什么牌子，但前置摄像头像素要200万	品牌:【随便】;后置摄像头像素:【190,210】
06d9016ac53140f1937dc64acd443d11-5	陈述句	前置摄像头像素200万	前置摄像头像素:【190,210】
06d9016ac53140f1937dc64acd443d11-7	陈述句	没要求	品牌:【没要求】
06d9016ac53140f1937dc64acd443d11-9	陈述句	小米吧	品牌:【小米】
06d9016ac53140f1937dc64acd443d11-11	陈述句	那就康佳吧	品牌:【康佳】
06d9016ac53140f1937dc64acd443d11-13	陈述句	2000元	价格:【1900,2100】
06d9016ac53140f1937dc64acd443d11-15	陈述句	那就500	价格:【475,525】
06d9016ac53140f1937dc64acd443d11-17	是非问	待机时间有1天吗	理论待机时间:【21,26】
06d9016ac53140f1937dc64acd443d11-19	特指问	哪款能待机一天？	理论待机时间:【21,26】
06d9016ac53140f1937dc64acd443d11-21	陈述句	我要待机一天的手机	理论待机时间:【21,26】
06d9016ac53140f1937dc64acd443d11-23	陈述句	我要2000元的手机	价格:【1900,2100】
06d9016ac53140f1937dc64acd443d11-25	陈述句	那400元	价格:【380,420】
06d9016ac53140f1937dc64acd443d11-27	是非问	他的前置摄像头像素有200万吗	前置摄像头像素:【190,210】
0fea204c56da4411bb47d7dd84262a88-3	陈述句	我想要一台前置摄像头好的手机	前置摄像头像素:【好】
0fea204c56da4411bb47d7dd84262a88-5	陈述句	三星吧	品牌:【三星】
0fea204c56da4411bb47d7dd84262a88-7	陈述句	我喜欢拍照	功能:【拍照】
0fea204c56da4411bb47d7dd84262a88-9	特指问	多少钱	价格
0fea204c56da4411bb47d7dd84262a88-11	陈述句	3000	价格:【2850,3150】
0fea204c56da4411bb47d7dd84262a88-13	陈述句	5寸	主屏尺寸:【4.75,5.25】
